ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
AB11551|25-314|Kielce|al. Tysiąclecia Państwa Polskiego[al.Tysiaclecia Państwa Polsk.]|7||ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1451845|34-400|Nowy Targ|al. Tysiąclecia[Al.Tysiąclecia 35]|35|35[]|MAŁOPOLSKIE[]|nowotarski[]|Nowy Targ[]
A1444263|25-314|Kielce|al. Tysiąclecia Państwa Polskiego[al.Tysiąclecia P.P.]|7||ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1482087|24-100[24-110]|Puławy|al. Tysiąclecia Państwa Polskiego[Al.Tysiąclecia P.P.]|13||LUBELSKIE[]|puławski[]|Puławy[]
A1726659|24-100[24-110]|Puławy|al. Tysiąclecia Państwa Polskiego[Al.Tysiąclecia P.P.]|13||LUBELSKIE[]|puławski[]|Puławy[]
A1400729|66-500|Strzelce Krajeńskie|al. Wolności[al.Wolności 8b]|8b[12]|12[]|LUBUSKIE[]|strzelecko-drezdenecki[]|Strzelce Krajeńskie[]
A1849496|35-301|Rzeszów|al. Żołnierzy I Armii Wojska Polskiego[Al.Żołnierzy I A.W.P]|20||PODKARPACKIE[]|Rzeszów[]|Rzeszów[]
A1359129|30-062|Kraków|al. 3 Maja[Aleja 3 Ma]|3|9|MAŁOPOLSKIE|Kraków|Kraków
A1447996|02-797[02-722]|Warszawa|al. Komisji Edukacji Narodowej[Aleja Komisji Eduk.Narod.]|21|36|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1212185|31-425|Kraków|al. 29 Listopada[Aleje 29 Listopada]|41A|21|MAŁOPOLSKIE|Kraków|Kraków
A1892940|31-425[31-482]|Kraków|al. 29 Listopada[Aleje 29 Listopada]|41B|4|MAŁOPOLSKIE|Kraków|Kraków
A1306622|02-486|Warszawa|al. Jerozolimskie[ALeje Jerozolimskie 180]|180[62a]|62a[]|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1954448|30-101|Kraków|al. Krasińskiego[Aleje Krasińskiego]|30|22|MAŁOPOLSKIE|Kraków|Kraków
A1321493|31-111[]|Kraków|al. Krasińskiego[Aleje Krasińskiego]|11b||MAŁOPOLSKIE|Kraków|Kraków
A1824384|25-035|Kielce|al. Legionów[Aleje Legionów]|3|5|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1466848|33-300|Nowy Sącz|al. Sucharskiego[Aleje Majora Sucharskiego]|13|21|MAŁOPOLSKIE[]|Nowy Sącz[]|Nowy Sącz[]
A1886957|30-059|Kraków|al. Mickiewicza[Aleje Mickewicza]|30||MAŁOPOLSKIE|Kraków|Kraków
